Gender,Sociodemographic,Indicators,Q4_2023,Q4_2024
,,Confidence in the justice system and courts rating of 1 or 2 ,20.6,22.4
,,Confidence in the justice system and courts rating of 3 ,32.1,29.4
,,Confidence in the justice system and courts rating of 4 or 5 ,47.4,48.2
,,Confidence in the school system rating of 1 or 2 ,20.5,19.3
,,Confidence in the school system rating of 3 ,34.3,36.1
,,Confidence in the school system rating of 4 or 5 ,45.2,44.6
,,Confidence in the Federal Parliament rating of 1 or 2 ,35.7,36.8
,,Confidence in the Federal Parliament rating of 3 ,35.1,34
,,Confidence in the Federal Parliament rating of 4 or 5 ,29.2,29.2
,,Confidence in the Canadian media rating of 1 or 2 ,24.3,25.9
,,Confidence in the Canadian media rating of 3 ,37.1,35.5
,,Confidence in the Canadian media rating of 4 or 5 ,38.6,38.6
,Non-immigrants ,Confidence in the police rating of 1 or 2 ,11.3,13.3
,,Confidence in the police rating of 3 ,22.9,21.4
,,Confidence in the police rating of 4 or 5 ,65.8,65.4
,,Confidence in the justice system and courts rating of 1 or 2 ,23.2,25.4
,,Confidence in the justice system and courts rating of 3 ,33.6,30.3
,,Confidence in the justice system and courts rating of 4 or 5 ,43.2,44.4
,,Confidence in the school system rating of 1 or 2 ,22.7,21.3
,,Confidence in the school system rating of 3 ,34.4,37.3
,,Confidence in the school system rating of 4 or 5 ,42.8,41.4
,,Confidence in the Federal Parliament rating of 1 or 2 ,40.1,41
,,Confidence in the Federal Parliament rating of 3 ,34.8,33.8
,,Confidence in the Federal Parliament rating of 4 or 5 ,25.1,25.2
,,Confidence in the Canadian media rating of 1 or 2 ,25.3,26.9
,,Confidence in the Canadian media rating of 3 ,37.3,36
,,Confidence in the Canadian media rating of 4 or 5 ,37.4,37.1
,Immigrants ,Confidence in the police rating of 1 or 2 ,12.1,12.1
,,Confidence in the police rating of 3 ,25.3,22.3
,,Confidence in the police rating of 4 or 5 ,62.6,65.6
,,Confidence in the justice system and courts rating of 1 or 2 ,14.6,13.7
,,Confidence in the justice system and courts rating of 3 ,29,27.9
,,Confidence in the justice system and courts rating of 4 or 5 ,56.5,58.4
,,Confidence in the school system rating of 1 or 2 ,15.4,13.9
,,Confidence in the school system rating of 3 ,33.8,33.4
,,Confidence in the school system rating of 4 or 5 ,50.8,52.8
